Video #,Time (seconds),Converted Time,Observation,Comments
19,13664,0.158148148,3 C 4,
19,13669,0.158206019,3 T 4,
19,13671,0.158229167,3 T 2,
19,13674,0.158263889,3 C 2,
19,13698,0.158541667,3 T 4,
19,13720,0.158796296,end experiment,
20,13726,0.158865741,1 C 4,
20,13727,0.158877315,3 T 4,
20,13728,0.158888889,1 T 2,
20,13730,0.158912037,2 T 1,
20,13731,0.158923611,2 C 1,
20,13802,0.15974537,3 T 4,
20,13811,0.159849537,3 C 2,
20,13813,0.159872685,3 T 4,
20,13815,0.159895833,3 B 4,
20,13817,0.159918981,3 T 4,
20,13817,0.159918981,3 C 4,
20,13819,0.15994213,3 T 4,
20,13819,0.15994213,3 C 4,
20,13821,0.159965278,3 B 2,
20,13822,0.159976852,3 C 2,
20,13824,0.16,3 T 4,
20,14019,0.162256944,4 T 1,
20,14020,0.162268519,3 T 1,
20,14027,0.162349537,1 C 4,
20,14031,0.162395833,1 C 4,
20,14177,0.164085648,3 T 4,
20,14214,0.164513889,3 C 4,
20,14223,0.164618056,3 T 1,
20,14275,0.165219907,3 C 2,
20,14278,0.16525463,3 C 2,
20,14281,0.165289352,3 C 4,
20,14289,0.165381944,3 T 4,
20,14405,0.166724537,end experiment,
21,14502,0.167847222,3 T 4,
21,14503,0.167858796,3 T 4,
21,14540,0.168287037,3 T 4,
21,14597,0.168946759,3 T 4,
